Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-7.36430408343|-78.9176893007,CAJAMARCA,CONTUMAZA,GUZMANGO,GUZMANGO,2864
-7.15904792997|-78.873085214,CAJAMARCA,SAN PABLO,SAN LUIS,SAN LUIS GRANDE,949
-7.01442466301|-79.6713009573,LAMBAYEQUE,CHICLAYO,LAGUNAS,MOCUPE,10899
-6.86573035676|-79.8574845687,LAMBAYEQUE,CHICLAYO,MONSEFU,MONSEFU,35368
-6.8887009402|-79.5066821013,LAMBAYEQUE,CHICLAYO,CAYALTI,CAYALTI,16364
-10.714926002|-77.6826923059,LIMA,BARRANCA,BARRANCA,BARRANCA,76776
-11.0035904276|-77.4452240991,LIMA,HUAURA,HUAURA,HUAURA,38493
-10.8835561728|-77.1279202264,LIMA,OYON,COCHAMARCA,COCHAMARCA,1226
-9.0818305656|-77.0073445799,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,LLAMELLIN,3571
-9.14324185258|-77.9570270578,ANCASH,HUAYLAS,PAMPAROMAS,PAMPAROMAS,8757
-10.1904460315|-77.3424818316,ANCASH,BOLOGNESI,CAJACAY,CAJACAY,1887
-10.3344551606|-77.1909793789,ANCASH,BOLOGNESI,CANIS,CANIS,327
-10.2324768894|-77.2080341693,ANCASH,BOLOGNESI,TICLLOS,TICLLOS,689
-9.10010562776|-78.43615622,ANCASH,SANTA,NUEVO CHIMBOTE,BUENOS AIRES,170160
-15.701962903|-73.0291096848,AREQUIPA,CONDESUYOS,YANAQUIHUA,YANAQUIHUA,4415
-15.6011306598|-72.4717592378,AREQUIPA,CASTILLA,MACHAGUAY,MACHAGUAY,564
-15.1160984551|-72.248495822,AREQUIPA,CASTILLA,ORCOPAMPA,ORCOPAMPA,8906
-15.6707755111|-72.6190589785,AREQUIPA,CASTILLA,PAMPACOLCA,PAMPACOLCA,2269
-16.261591273|-72.5255726457,AREQUIPA,CASTILLA,URACA,CORIRE,7199
-15.9676228603|-72.0184453813,AREQUIPA,CAYLLOMA,LLUTA,LLUTA,830
